"sampleType","sampleDens","method","metric","value","count","agreement"
"regular","1e-06","mst","roadDisturbance",0,451930,"Agree roadless"
"regular","1e-06","mst","roadDisturbance",1,11437,"False positive"
"regular","1e-06","mst","roadDisturbance",100,6362,"False negative"
"regular","1e-06","mst","roadDisturbance",101,32533,"Agree roaded"
"regular","1e-06","mst","roadDisturbance",111,260259,"Pre-existing roads"
"regular","1e-06","mst","roadPresence",0,708849,"Agree roadless"
"regular","1e-06","mst","roadPresence",1,4205,"False positive"
"regular","1e-06","mst","roadPresence",100,12908,"False negative"
"regular","1e-06","mst","roadPresence",101,1826,"Agree roaded"
"regular","1e-06","mst","roadPresence",111,34733,"Pre-existing roads"
"regular","1e-06","mst","forestryDisturbance",0,507926,"Agree roadless"
"regular","1e-06","mst","forestryDisturbance",1,2193,"False positive"
"regular","1e-06","mst","forestryDisturbance",10,6606,"Pre-existing roads"
"regular","1e-06","mst","forestryDisturbance",11,55,"Pre-existing roads"
"regular","1e-06","mst","forestryDisturbance",100,2488,"False negative"
"regular","1e-06","mst","forestryDisturbance",101,40816,"Agree roaded"
"regular","1e-06","mst","forestryDisturbance",110,1219,"Pre-existing roads"
"regular","1e-06","mst","forestryDisturbance",111,184980,"Pre-existing roads"
"regular","1e-05","mst","roadDisturbance",0,449173,"Agree roadless"
"regular","1e-05","mst","roadDisturbance",1,14194,"False positive"
"regular","1e-05","mst","roadDisturbance",100,4772,"False negative"
"regular","1e-05","mst","roadDisturbance",101,34123,"Agree roaded"
"regular","1e-05","mst","roadDisturbance",111,260259,"Pre-existing roads"
"regular","1e-05","mst","roadPresence",0,707529,"Agree roadless"
"regular","1e-05","mst","roadPresence",1,5525,"False positive"
"regular","1e-05","mst","roadPresence",100,12400,"False negative"
"regular","1e-05","mst","roadPresence",101,2334,"Agree roaded"
"regular","1e-05","mst","roadPresence",111,34733,"Pre-existing roads"
"regular","1e-05","mst","forestryDisturbance",0,507827,"Agree roadless"
"regular","1e-05","mst","forestryDisturbance",1,2292,"False positive"
"regular","1e-05","mst","forestryDisturbance",10,6609,"Pre-existing roads"
"regular","1e-05","mst","forestryDisturbance",11,52,"Pre-existing roads"
"regular","1e-05","mst","forestryDisturbance",100,2483,"False negative"
"regular","1e-05","mst","forestryDisturbance",101,40821,"Agree roaded"
"regular","1e-05","mst","forestryDisturbance",110,1227,"Pre-existing roads"
"regular","1e-05","mst","forestryDisturbance",111,184972,"Pre-existing roads"
"random","1e-06","mst","roadDisturbance",0,452129,"Agree roadless"
"random","1e-06","mst","roadDisturbance",1,11238,"False positive"
"random","1e-06","mst","roadDisturbance",100,6580,"False negative"
"random","1e-06","mst","roadDisturbance",101,32315,"Agree roaded"
"random","1e-06","mst","roadDisturbance",111,260259,"Pre-existing roads"
"random","1e-06","mst","roadPresence",0,708869,"Agree roadless"
"random","1e-06","mst","roadPresence",1,4185,"False positive"
"random","1e-06","mst","roadPresence",100,12920,"False negative"
"random","1e-06","mst","roadPresence",101,1814,"Agree roaded"
"random","1e-06","mst","roadPresence",111,34733,"Pre-existing roads"
"random","1e-06","mst","forestryDisturbance",0,507981,"Agree roadless"
"random","1e-06","mst","forestryDisturbance",1,2138,"False positive"
"random","1e-06","mst","forestryDisturbance",10,6606,"Pre-existing roads"
"random","1e-06","mst","forestryDisturbance",11,55,"Pre-existing roads"
"random","1e-06","mst","forestryDisturbance",100,2508,"False negative"
"random","1e-06","mst","forestryDisturbance",101,40796,"Agree roaded"
"random","1e-06","mst","forestryDisturbance",110,1211,"Pre-existing roads"
"random","1e-06","mst","forestryDisturbance",111,184988,"Pre-existing roads"
"random","1e-05","mst","roadDisturbance",0,449778,"Agree roadless"
"random","1e-05","mst","roadDisturbance",1,13589,"False positive"
"random","1e-05","mst","roadDisturbance",100,4924,"False negative"
"random","1e-05","mst","roadDisturbance",101,33971,"Agree roaded"
"random","1e-05","mst","roadDisturbance",111,260259,"Pre-existing roads"
"random","1e-05","mst","roadPresence",0,707969,"Agree roadless"
"random","1e-05","mst","roadPresence",1,5085,"False positive"
"random","1e-05","mst","roadPresence",100,12579,"False negative"
"random","1e-05","mst","roadPresence",101,2155,"Agree roaded"
"random","1e-05","mst","roadPresence",111,34733,"Pre-existing roads"
"random","1e-05","mst","forestryDisturbance",0,507870,"Agree roadless"
"random","1e-05","mst","forestryDisturbance",1,2249,"False positive"
"random","1e-05","mst","forestryDisturbance",10,6600,"Pre-existing roads"
"random","1e-05","mst","forestryDisturbance",11,61,"Pre-existing roads"
"random","1e-05","mst","forestryDisturbance",100,2506,"False negative"
"random","1e-05","mst","forestryDisturbance",101,40798,"Agree roaded"
"random","1e-05","mst","forestryDisturbance",110,1218,"Pre-existing roads"
"random","1e-05","mst","forestryDisturbance",111,184981,"Pre-existing roads"
"centroid","1e-06","mst","roadDisturbance",0,452364,"Agree roadless"
"centroid","1e-06","mst","roadDisturbance",1,11003,"False positive"
"centroid","1e-06","mst","roadDisturbance",100,6579,"False negative"
"centroid","1e-06","mst","roadDisturbance",101,32316,"Agree roaded"
"centroid","1e-06","mst","roadDisturbance",111,260259,"Pre-existing roads"
"centroid","1e-06","mst","roadPresence",0,708886,"Agree roadless"
"centroid","1e-06","mst","roadPresence",1,4168,"False positive"
"centroid","1e-06","mst","roadPresence",100,12922,"False negative"
"centroid","1e-06","mst","roadPresence",101,1812,"Agree roaded"
"centroid","1e-06","mst","roadPresence",111,34733,"Pre-existing roads"
"centroid","1e-06","mst","forestryDisturbance",0,507981,"Agree roadless"
"centroid","1e-06","mst","forestryDisturbance",1,2138,"False positive"
"centroid","1e-06","mst","forestryDisturbance",10,6606,"Pre-existing roads"
"centroid","1e-06","mst","forestryDisturbance",11,55,"Pre-existing roads"
"centroid","1e-06","mst","forestryDisturbance",100,2506,"False negative"
"centroid","1e-06","mst","forestryDisturbance",101,40798,"Agree roaded"
"centroid","1e-06","mst","forestryDisturbance",110,1212,"Pre-existing roads"
"centroid","1e-06","mst","forestryDisturbance",111,184987,"Pre-existing roads"
"regular","1e-05","dlcp","roadDisturbance",0,448451,"Agree roadless"
"regular","1e-05","dlcp","roadDisturbance",1,14916,"False positive"
"regular","1e-05","dlcp","roadDisturbance",100,4676,"False negative"
"regular","1e-05","dlcp","roadDisturbance",101,34219,"Agree roaded"
"regular","1e-05","dlcp","roadDisturbance",111,260259,"Pre-existing roads"
"regular","1e-05","dlcp","roadPresence",0,707598,"Agree roadless"
"regular","1e-05","dlcp","roadPresence",1,5456,"False positive"
"regular","1e-05","dlcp","roadPresence",100,12489,"False negative"
"regular","1e-05","dlcp","roadPresence",101,2245,"Agree roaded"
"regular","1e-05","dlcp","roadPresence",111,34733,"Pre-existing roads"
"regular","1e-05","dlcp","forestryDisturbance",0,507342,"Agree roadless"
"regular","1e-05","dlcp","forestryDisturbance",1,2777,"False positive"
"regular","1e-05","dlcp","forestryDisturbance",10,6605,"Pre-existing roads"
"regular","1e-05","dlcp","forestryDisturbance",11,56,"Pre-existing roads"
"regular","1e-05","dlcp","forestryDisturbance",100,2470,"False negative"
"regular","1e-05","dlcp","forestryDisturbance",101,40834,"Agree roaded"
"regular","1e-05","dlcp","forestryDisturbance",110,1299,"Pre-existing roads"
"regular","1e-05","dlcp","forestryDisturbance",111,184900,"Pre-existing roads"
"klementQGIS",NA,NA,"roadDisturbance",0,447721,"Agree roadless"
"klementQGIS",NA,NA,"roadDisturbance",1,15646,"False positive"
"klementQGIS",NA,NA,"roadDisturbance",100,3855,"False negative"
"klementQGIS",NA,NA,"roadDisturbance",101,35040,"Agree roaded"
"klementQGIS",NA,NA,"roadDisturbance",111,260259,"Pre-existing roads"
"klementQGIS",NA,NA,"roadPresence",0,706871,"Agree roadless"
"klementQGIS",NA,NA,"roadPresence",1,6183,"False positive"
"klementQGIS",NA,NA,"roadPresence",100,12068,"False negative"
"klementQGIS",NA,NA,"roadPresence",101,2666,"Agree roaded"
"klementQGIS",NA,NA,"roadPresence",110,2,"Pre-existing roads"
"klementQGIS",NA,NA,"roadPresence",111,34731,"Pre-existing roads"
"klementQGIS",NA,NA,"forestryDisturbance",0,508113,"Agree roadless"
"klementQGIS",NA,NA,"forestryDisturbance",1,2006,"False positive"
"klementQGIS",NA,NA,"forestryDisturbance",10,6637,"Pre-existing roads"
"klementQGIS",NA,NA,"forestryDisturbance",11,24,"Pre-existing roads"
"klementQGIS",NA,NA,"forestryDisturbance",100,2538,"False negative"
"klementQGIS",NA,NA,"forestryDisturbance",101,40766,"Agree roaded"
"klementQGIS",NA,NA,"forestryDisturbance",110,1314,"Pre-existing roads"
"klementQGIS",NA,NA,"forestryDisturbance",111,184885,"Pre-existing roads"
"cutOnly",NA,NA,"roadDisturbance",0,463367,"Agree roadless"
"cutOnly",NA,NA,"roadDisturbance",100,38895,"False negative"
"cutOnly",NA,NA,"roadDisturbance",111,260259,"Pre-existing roads"
"cutOnly",NA,NA,"roadPresence",0,713054,"Agree roadless"
"cutOnly",NA,NA,"roadPresence",100,14734,"False negative"
"cutOnly",NA,NA,"roadPresence",111,34733,"Pre-existing roads"
"cutOnly",NA,NA,"forestryDisturbance",0,510119,"Agree roadless"
"cutOnly",NA,NA,"forestryDisturbance",10,6661,"Pre-existing roads"
"cutOnly",NA,NA,"forestryDisturbance",100,2886,"False negative"
"cutOnly",NA,NA,"forestryDisturbance",101,40418,"Agree roaded"
"cutOnly",NA,NA,"forestryDisturbance",110,1344,"Pre-existing roads"
"cutOnly",NA,NA,"forestryDisturbance",111,184855,"Pre-existing roads"
